,description,en,fr,pl,ru,es,it,ga,fil,de,tr,id,pt,jp,zh
DESC_INF_LIVES_1,,"Infinite lives, modern experience.","Vies illimitées, pour une expérience moderne.","Nieskończone życia, współczesny styl gry.","Бeckoheчhыe Жизhи, cobpemehhый oпыt.","Vidas infinitas, experiencia moderna.","Vite infinite, l'esperienza moderna.","ＩＮＦＩＮＩＴＥ ＬＩＶＥＳ, ＭＯＤＥＲＮ ＥＸＰＥＲＩＥＮＣＥ.","Infinite lives, Modernong Experience","Unendliche Leben, wie bei mordernen Spielen.","Sonsuz hayat sayısı, modern deneyİm.","Kehidupan Yang tdak terbatas, pengalaman modern.","Vidas infinitas, experiência moderna.",いま、ざんきはむげんである。,无限生命数，现代体验。
DESC_FLAG_LIVES_0,,"Flagpoles will not give an extra life when touching the top, classic experience.",Toucher le bout des drapeaux de fin de niveaux ne permet pas d'obtenir une vie supplémentaire.,"Flagi nie dają dodatkowych żyć przy dotknięciu ich szczytu, klasyczny styl gry.","Флaгшtokи he дaюt дoпoлhиteльhыx жизheй пpи kacahии иx bepxУшkи, kлaccичeckий oпыt.","Las astas de bandera no darán una vida extra al tocar la cima, experiencia clásica.","Le bandiere alla fine non ti daranno una vita extra toccando la cima, l'esperienza classica.","ＦＬＡＧＰＯＬＥＳ ＷＩＬＬ ＮＯＴ ＧＩＶＥ ＡＮ ＥＸＴＲＡ ＬＩＦＥ ＷＨＥＮ ＴＯＵＣＨＩＮＧ ＴＨＥ ＴＯＰ, ＣＬＡＳＳＩＣ ＥＸＰＥＲＩＥＮＣＥ.","Walang Life points sa taas ng Flagpole, Klasik na Experience","Zielpfahle geben kein Extra-Leben, wie bei den Originalspielen.","Bayraklar en üstüne dokunulduğunda ekstra hayat vermez, klasİk deneyİm.","Tiang bendera tidak akan memberikan nyawa ekstra saat menyentuh bagian atas,, pengalaman klasik.","Bandeiras não darão vidas extras ao tocar no topo delas, experiência clássica.",ポールのうえに　さわれると　ついかのこりんいんずうを　おくるな。,碰到旗杆顶端不会奖励额外生命，经典体验。
DESC_FLAG_LIVES_1,,"Flagpoles will give an extra life if touching the top, modern experience","Toucher le bout des drapeaux de fin de 
niveaux permet d'obtenir une vie supplémentaire.","Flagi dają dodatkowe życie przy dotknięciu ich szczytu, współczesny styl gry.","Флaгшtokи дaюt дoпoлhиteльhыe жизhи пpи kacahии иx bepxУшkи, cobpemehhый oпыt.","Las astas de bandera darán una vida extra al tocar la cima, experiencia moderna.","Le bandiere alla fine ti daranno una vita extra toccando la cima, l'esperienza moderna.","ＦＬＡＧＰＯＬＥＳ ＷＩＬＬ ＧＩＶＥ ＡＮ ＥＸＴＲＡ ＬＩＦＥ ＩＦ ＴＯＵＣＨＩＮＧ ＴＨＥ ＴＯＰ, ＭＯＤＥＲＮ ＥＸＰＥＲＩＥＮＣＥ","Extra Life sa taas ng Flagpole, Modernong Experience","Zielpfahle geben ein Extra-Leben, wie bei modernen Spielen.","Bayrakların en üstüne dokunulduğunda ekstra hayat verİr, modern deneyİm.","Tiang bendera akan memberi kehidupan ekstra saat menyentuh bagian atas, pengalaman modern","Bandeiras darão vidas extras ao tocar no topo delas, experiência moderna.",ポールのうえに　さわれると　ついかのこりんいんずうを　おくる。,碰到旗杆顶端会奖励额外生命，现代体验。
DESC_GAME_OVER_0,,"When reaching a Game Over, go back to the start of the world.","Lors d'un Game Over, retour au début du monde","Przy skończeniu żyć, wróć na początek świata.","Пpи ""Игpa okohчeha"", bephУtьcя b haчaлo mиpa.","Al llegar a un Game Over, vuelve al principio del mundo.","Dopo un Game Over, torna all'inizio del mondo.","ＷＨＥＮ ＲＥＡＣＨＩＮＧ Ａ ＧＡＭＥ ＯＶＥＲ, ＧＯ ＢＡＣＫ ＴＯ ＴＨＥ ＳＴＡＲＴ ＯＦ ＴＨＥ ＷＯＲＬＤ.","Kapag natalo, balik sa simula ng mundo",Zurück zum ersten Level der Welt bei einem Game-Over.,Tüm canlarını kaybedİnce dünyanın başına gerİ dön.,"Saat mencapai Game Over, kembali ke awal dunia.","Quando você alcançar um Game Over, volte para o começo do mundo.",ワールドのはじまりにかえる。,游戏结束时返回所在世界开头。
DESC_GAME_OVER_1,,"When reaching a Game Over, go back to the start of the level.","Lors d'un Game Over, retour au début du niveau","Przy skończeniu żyć, wróć na początek poziomu.","Пpи ""Игpa okohчeha"", bephУtьcя b haчaлo Уpobhя.","Al llegar a un Game Over, vuelve al principio del nivel.","Dopo un Game Over, torna all'inizio del livello.","ＷＨＥＮ ＲＥＡＣＨＩＮＧ Ａ ＧＡＭＥ ＯＶＥＲ, ＧＯ ＢＡＣＫ ＴＯ ＴＨＥ ＳＴＡＲＴ ＯＦ ＴＨＥ ＬＥＶＥＬ.","Kapag natalo, balik sa simula ng lebe;",Zurück zum Start des Levels bei einem Game-Over.,Tüm canlarını kaybedİnce levelİn başına gerİ dön.,"Saat mencapai Game Over, kembali ke awal level.","Quando você alcançar um Game Over, volte para o começo do nível.",ステージのはじまりにかえる。,游戏结束时返回当前关卡开头。
DESC_GAME_OVER_2,,"When reaching a Game Over, go back to the start of the game.","Lors d'un Game Over, retour au début du jeu","Przy skończeniu żyć, wróć na początek gry.","Пpи ""Игpa okohчeha"", bephУtьcя b haчaлo игpы.","Al llegar a un Game Over, vuelve al principio del juego.","Dopo un Game Over, torna all'inizio del gioco.","ＷＨＥＮ ＲＥＡＣＨＩＮＧ Ａ ＧＡＭＥ ＯＶＥＲ, ＧＯ ＢＡＣＫ ＴＯ ＴＨＥ ＳＴＡＲＴ ＯＦ ＴＨＥ ＧＡＭＥ.","Kapag natalo, balik sa simula ng game",Zurück zum Spielanfang bei einem Game-Over.,Tüm canlarını kaybedİnce oyunun başına gerİ dön.,"Saat mencapai Game Over, kembali ke awal permainan.","Quando você alcançar um Game Over, volte para o começo do jogo.",ゲームのはじまりにかえる。,游戏结束时返回游戏标题画面。
DESC_LEVEL_DESIGN_0,,"Level design is the same as the original, can be unfair at times.","Les niveaux sont conçus de la même manière que dans le jeu original, peut être injuste.","Zarys poziomów identyczny do oryginału, może być czasami niesprawiedliwy.","Дизaйh Уpobhя takoй жe kak и b opигиhaлe, mectamи heчecthый.","El diseño de niveles es el mismo que el original, puede ser injusto a veces.","I design dei livelli sono identici agli originali, possono essere ingiusti certe volte.","ＬＥＶＥＬ ＤＥＳＩＧＮ ＩＳ ＴＨＥ ＳＡＭＥ ＡＳ ＴＨＥ ＯＲＩＧＩＮＡＬ, ＣＡＮ ＢＥ ＵＮＦＡＩＲ ＡＴ ＴＩＭＥＳ.","Original na design ng level, maaring mahirap",Das Leveldesign ist unverändert. Eventuell unfair.,Level tasarımı orİjİnal İle aynıdır. Bazı zamanlarda haksızlıklar olabİlİr.,"Desain levelnya sama seperti aslinya, terkadang bisa tidak adil.","O design dos níveis é o mesmo do jogo original, pode ser injusto as vezes.",オリジナルゲームのように（ふこうへい　かも）。,关卡设计与原版保持一致，偶尔不太公平。
DESC_LEVEL_DESIGN_1,,Level design is adjusted to be much fairer.,Les niveaux sont conçus d'une manière plus juste et agréable.,Zarys poziomów zmieniony na sprawiedliwszy.,Дизaйh Уpobheй ctaл бoлee cпpabeдлиbыm.,El diseño de los niveles se ha ajustado para que sea mucho más justo.,I design dei livelli sono modificati per essere più equilibrati.,ＬＥＶＥＬ ＤＥＳＩＧＮ ＩＳ ＡＤＪＵＳＴＥＤ ＴＯ ＢＥ ＭＵＣＨ ＦＡＩＲＥＲ.,Patas na design ng level,Das Leveldesign wird für ein faireres Spielerlebnis angepasst.,Level tasarımı daha adİl olacak şekİlde ayarlanmıştır.,Desain level disesuaikan agar lebih adil.,O design dos níveis é ajustado para ser muito mais justo.,もうすこし　こうへい。,关卡设计经过调整，更加公平合理。
DESC_TIME_0,,There is no time limit in levels.,Il n'y a pas de limite de temps dans ce niveau,Nie ma limitu czasu w poziomach.,ha Уpobhяx hetУ лиmиta bpemehи.,No hay límite de tiempo en los niveles.,Non ci saranno limiti di tempo nei livelli.,ＴＨＥＲＥ ＩＳ ＮＯ ＴＩＭＥ ＬＩＭＩＴ ＩＮ ＬＥＶＥＬＳ.,Walang time limit sa mga lebel,Bei Leveln ist kein Zeitlimit vorhanden.,Levellerde zaman lİmİtİ yok.,Tidak ada batasan waktu dalam level.,Não tem tempo limite nos níveis.,ステージに　じかんせいげんは　ない。,关卡中没有时间限制。
DESC_TIME_1,,There is a time limit in all levels.,Il y a une limite de temps dans ce niveau,Jest limit czasu w poziomach.,ha Уpobhяx ectь лиmиt bpemehи.,Hay un límite de tiempo en todos los niveles.,Ci saranno limiti di tempo nei livelli.,ＴＨＥＲＥ ＩＳ Ａ ＴＩＭＥ ＬＩＭＩＴ ＩＮ ＡＬＬ ＬＥＶＥＬＳ.,May time limit sa mga lebel,Bei Leveln gibt es ein Zeitlimit.,Tüm levellerde zaman lİmİtİ var.,Ada batas waktu di semua level.,Tem tempo limite nos níveis.,ステージに　じかんせいげんは　ある。,所有关卡都有时间限制。
DESC_TIME_2,,"There is a time limit in all levels, but it ticks every second.",Il y a une limite de temps dans ce niveau,Jest limit czasu w poziomach.,ha Уpobhяx ectь лиmиt bpemehи.,Hay un límite de tiempo en todos los niveles.,Ci saranno limiti di tempo nei livelli.,"ＴＨＥＲＥ ＩＳ Ａ ＴＩＭＥ ＬＩＭＩＴ ＩＮ ＡＬＬ ＬＥＶＥＬＳ, ＢＵＴ ＩＴ ＴＩＣＫＳ ＥＶＥＲ ＳＥＣＯＮＤ.",May time limit sa mga lebel,Bei Leveln gibt es ein Zeitlimit.,Tüm levellerde zaman lİmİtİ var.,Ada batas waktu di semua level.,Tem tempo limite nos níveis.,ステージに　じかんせいげんは　ある。,所有关卡都有时间限制，但计时速度为每秒一次。
DESC_BACKSCROLL_0,,"You cannot move backwards in levels (unless a custom level allows it), Intended Experience",Vous ne pouvez pas retournez en arrière (sauf si un niveau custom vous l'autorise). Expérience prévue,Nie możesz iść do tyłu (chyba że poziom użytnikowa na to pozwala) Domyślny styl gry,"bы he moжete дbигatьcя haзaд ha Уpobhяx (kpome, ecли пoльзobateльckий Уpobehь пoзboляet), пpeдпoлaгaemый oпыt","No puedes retroceder en los niveles (a menos que un nivel personalizado lo permita), Experiencia prevista","Non puoi tornare indietro nei livelli (a meno che un livello creato dall'utente lo consente), l'esperienza originale.","ＹＯＵ ＣＡＮＮＯＴ ＭＯＶＥ ＢＡＣＫＷＡＲＤＳ ＩＮ ＬＥＶＥＬＳ (ＵＮＬＥＳＳ Ａ ＣＵＳＴＯＭ ＬＥＶＥＬ ＡＬＬＯＷＳ ＩＴ), ＩＮＴＥＮＤＥＤ ＥＸＰＥＲＩＥＮＣＥ","Walang backscroll, maliban kung pwede sa custom game, klasik na experience","Die Kamera bewegt sich nicht nach links, wie bei den Originalspielen, ausser wenn ein Nutzererstelltes Level es erlaubt.","Levellerde gerİye doğru hareket edemezsİnİz (özel bİr level buna İzİn vermedİğİ sürece), Amaçlanan Deneyİm","Anda tidak dapat bergerak mundur dalam level (kecuali level kustom mengizinkannya), Pengalaman yang Diinginkan","Você não pode andar para trás nos níveis (a menos que um nível customizado o permita), Experiência recomendada.",デフォルトステージモード：もどることはできない。,无法在关卡中后退（除非自定义关卡允许），原版设计。
DESC_BACKSCROLL_1,,You can move backwards in all levels (unless a custom level prevents it),Vous pouvez retournez en arrière (sauf si un niveau custom vous l'en empêche),Możesz iść do tyłu (chyba że poziom użytnikowa na to nie pozwala) ,"bы moжete дbигatьcя haзaд ha Уpobhяx (kpome, ecли пoльзobateльckий Уpobehь he пoзboляet)",Puedes retroceder en todos los niveles (a menos que un nivel personalizado lo impida).,Puoi tornare indietro nei livelli (a meno che un livello creato dall'utente non lo consente).,ＹＯＵ ＣＡＮ ＭＯＶＥ ＢＡＣＫＷＡＲＤＳ ＩＮ ＡＬＬ ＬＥＶＥＬＳ (ＵＮＬＥＳＳ Ａ ＣＵＳＴＯＭ ＬＥＶＥＬ ＰＲＥＶＥＮＴＳ ＩＴ),"Free Camera, maliban kung pinagbawal sa custom games","Die Kamera kann sich auch nach links bewegen, ausser wenn ein nutzererstelltes Level es nicht erlaubt.",Tüm levellerde gerİye doğru hareket edebİlİrsİnİz (özel bİr level bunu engellemedİğİ sürece),Anda dapat bergerak mundur di semua level (kecuali level kustom mencegahnya),"Você pode andar para trás em todos os níveis (a menos que um nível customizado não o permita), Experiência recomendada.",デフォルトステージモード：もどることはできる。,可在所有关卡中后退（除非自定义关卡禁止）。
DESC_LAKITU_0,,"Lakitu will throw spinies straight upwards, exactly like in the original games. (was due to a bug)","Lakitu jettera des Hériss en ligne droite verticale, comme il le faisait dans les jeux originaux (à cause d'un bug)","Lakitu rzuca kolczastych prosto w górę, dokładnie jak w oryginale. (Oryginalnie niezamierzane)","ЛakиtУ бУдet пoдбpacыbatь koлючkУ пpяmo bbepx, b toчhoctи kak b opигиhaльhыx игpax. (эto пpoизoшлo из-зa oшибkи)","Lakitu lanzará a los Spiny directamente hacia arriba, exactamente igual que en los juegos originales. (debido a un error)","Lakitu lancerà i koopistrici verticalmente verso l'alto, esattamente come nel gioco originale (questo era a causa di un bug).","ＬＡＫＩＴＵ ＷＩＬＬ ＴＨＲＯＷ ＳＰＩＮＩＥＳ ＳＴＲＡＩＧＨＴ ＵＰＷＡＲＤＳ, ＥＸＡＣＴＬＹ ＬＩＫＥ ＩＮ ＴＨＥ ＯＲＩＧＩＮＡＬ ＧＡＭＥＳ. (ＷＡＳ ＤＵＥ ＴＯ Ａ ＢＵＧ)","Pataas, Klasik na pagtapon ng Lakitu ng spiny","Lakitu wirft Stachis senkrecht nach oben, wie bei den Originalspielen. (Dies passierte aufgrund eines Bugs)",Lakİtu orİjİnal oyunlardakİ gİbİ Spİny'lerİ dümdüz yukarı doğru fırlatacak. (bİr hata nedenİyle),"Lakitu akan melemparkan spiny lurus ke atas, persis seperti di game aslinya. (disebabkan oleh bug)","Lakitus vão arremessar spinys direto para cima, que nem no jogo original.",トゲゾーが　うえに　なげられる。,球盖姆会垂直向上投掷刺球丸子，与原版游戏一致。有点烦人。
DESC_LAKITU_1,,"Lakitu will throw spinies diagonally up, which was the originally intended behaviour.","Lakitu jettera des Hériss en diagonal, ce qui était le comportement originalement prévu. ","Lakitu rzuca kolczastych ukośnie do góry, tak jak miało być w oryginale.","ЛakиtУ пoдбpacыbaet koлючkУ пo диaгohaли bbepx, чto и былo изhaчaльho зaдУmaho.","Lakitu lanzará a los Spiny en diagonal hacia arriba, que era el comportamiento previsto originalmente.","Lakitu lancerà i koopistrici in diagonale verso l'alto, il comportamento originariamente inteso.","ＬＡＫＩＴＵ ＷＩＬＬ ＴＨＲＯＷ ＳＰＩＮＩＥＳ ＤＩＡＧＯＮＡＬＬＹ ＵＰ, ＷＨＩＣＨ ＷＡＳ ＴＨＥ ＯＲＩＧＩＮＡＬＬＹ ＩＮＴＥＮＤＥＤ ＢＥＨＡＶＩＯＵＲ.","Pasulong, Maayos na pagtapon ng Lakitu ng mga spiny","Lakitu wirft Stachis diagonal nach oben, was das eigentliche Verhalten von Lakitu sein sollte.","Lakİtu, Spİny düşmanlarını çapraz olarak yukarı fırlatacak, düzeltİlmİş davranış.","Lakitu akan melemparkan spiny secara diagonal ke atas, yang merupakan perilaku yang dimaksudkan pada awalnya.","Lakitus vão arremessar spinys diagonalmente para cima, o que era originalmente pretendido",トゲゾーが　ななめうえに　なげられる。,球盖姆会斜上方投掷刺球丸子，这是原本预期的行为。没那么烦人。
ACTION_JUMP,,Jump,Sauter,Skok,Пpыжok,Saltar,Salta,ＪＵＭＰ,Jump,Springen,Zıpla,Lompat,Pular,ジャンプ,跳跃
ACTION_RUN,,Run,Courir,Bieg,Бeг,Correr,Corri,ＲＵＮ,Kilos,Rennen,Koş,Lari,Correr,ダッシュ,加速
ACTION_ACTION,"Terrible name, but basically the ""action button"", used for fireballs and powerup actions",Action,Action,Akcja,Дeйctbиe,Acción,Azione,ＡＣＴＩＯＮ,Aksyon,Aktion,Aksİyon,Aksi,Ação,アクション,动作
ACTION_LEFT,,Left,Gauche,Lewo,bлebo,Izquierda,Sinistra,ＬＥＦＴ,Kaliwa,Links,Sol,Kiri,Esquerda,ひだり,左
ACTION_RIGHT,,Right,Droite,Prawo,bпpabo,Derecha,Destra,ＲＩＧＨＴ,Kanan,Rechts,Sağ,Kanan ,Direita,みぎ,右
ACTION_UP,,Up,Haut,Góra,bbepx,Arriba,Su,ＵＰ,Taas,Oben,Yukarı,Atas,Cima,うえ,上
ACTION_DOWN,,Down,Bas,Dół,bhиз,Abajo,Giù,ＤＯＷＮ,Baba,Unten,Aşağı,Bawah ,Baixo,した,下
CUTSCENE_CASTLE_TOAD_1,,Thank you {PLAYER}!,Merci {PLAYER} !,Dziękuję {PLAYER}!,cпacибo {PLAYER}!,¡Gracias {PLAYER}!,Grazie {PLAYER}!,ＴＨＡＮＫ ＹＯＵ {ＰＬＡＹＥＲ}!,Salamat {PLAYER}!,"Danke, {PLAYER}!",Teşekkürler {PLAYER}!,Terima kasih {PLAYER}!,Obrigado {PLAYER}!,ありがとう、{PLAYER}！,谢谢你 {PLAYER}！
CUTSCENE_CASTLE_TOAD_2,,But our princess is in another castle!,Mais notre princesse est dans un autre château !,Ale nasza księżniczka jest w innym zamku!,ho пpиhцecca b дpУгom зamke!,¡Pero nuestra princesa está en otro castillo!,Ma la nostra principessa si trova in un altro castello!,ＢＵＴ ＯＵＲ ＰＲＩＮＣＥＳＳ ＩＳ ＩＮ ＡＮＯＴＨＥＲ ＣＡＳＴＬＥ!,Ngunit wala sa palasyong ito ang ating prinsesa!,Leider ist die Prinzessin in einem anderen Schloss!,ama bİzİm prensesİmİz başka bİr kalede!,Tapi tuan putri berada di kastil lain!,Mas a nossa princesa está em outro castelo!,でも、おひめさまは　べつの　しろに　いるの。,但是公主在另一座城堡里！
CUTSCENE_CASTLE_PEACH_1,,Thank you {PLAYER}!,Merci {PLAYER} !,Dziękuję {PLAYER}!,cпacибo {PLAYER}!,¡Gracias {PLAYER}!,Grazie {PLAYER}!,ＴＨＡＮＫ ＹＯＵ {ＰＬＡＹＥＲ}!,Salamat {PLAYER}!,"Danke, {PLAYER}!",Teşekkürler {PLAYER}!,Terima kasih {PLAYER}!,Obrigado {PLAYER}!,ありがとう、{PLAYER}！,谢谢你 {PLAYER}！
CUTSCENE_CASTLE_PEACH_2,,Your quest is over.,Votre quête est terminée.,Twoja przygoda dobiegła końca.,tboё пpиkлючehиe пoдoшлo k kohцУ.,Tu misión ha terminado.,La tua missione è terminata.,ＹＯＵＲ ＱＵＥＳＴ ＩＳ ＯＶＥＲ.,Dito na nagtatapos ang iyong misyon,Dein Abenteuer ist beendet.,Görevİn sona erdİ.,Quest Anda telah berakhir.,Sua missão chegou ao fim.,きみの　ぼうけんは　おわった,你的冒险结束了。
CUTSCENE_CASTLE_PEACH_3,,We present you a new quest.,Nous vous en présentons une nouvelle.,Prezentujemy tobie nowe wyzwanie.,ho У hac ectь koe-чto eщё для teбя.,Te presentamos una nueva misión.,Ti presentiamo una nuova missione.,ＷＥ ＰＲＥＳＥＮＴ ＹＯＵ Ａ ＮＥＷ ＱＵＥＳＴ.,May bago kaming misyon na para sayo,Nun bieten wir dir ein weiteres.,Sİze yenİ bİr görev sunuyoruz.,Kami hadirkan kau sebuah quest baru.,Nos apresentamos a você uma nova missão.,あたらしい　ぼうけんを　しょうかいしよう,现在让我为你开启一段新的旅程。
CUTSCENE_CASTLE_PEACH_4,,Extra content has been unlocked! Enjoy!,Nouveaux contenus débloqués ! Profitez bien !,Dodatkowe zasoby zostały odblokowane! Powodzenia!,Эkctpa-kohteht paзблokиpobah! beceлиcь!,Se ha desbloqueado contenido extra. Que lo disfrutes!,è stato aggiunto del contenuto extra! Divertiti!,ＥＸＴＲＡ ＣＯＮＴＥＮＴ ＨＡＳ ＢＥＥＮ ＵＮＬＯＣＫＥＤ! ＥＮＪＯＹ!,May access ka na sa ibang content! Enjoy!,Weitere Inhalte sind jetzt verfügbar! Viel Spass!,Ekstra İçerİk açıldı! İyİ eğlenceler!,Konten tambahan telah dibuka! Selamat menikmati!,Conteúdo extra desbloqueado! Aproveite!,ボーナスコンテンツがあいたよ！たのしんでね！,额外内容已解锁！尽情享受吧！
CUTSCENE_MARATHON_PEACH_1,,Great run {PLAYER}!,Belle run {PLAYER}!,Swietna próba {PLAYER}!,xopoший зaбeг {PLAYER}!,¡Gran carrera {PLAYER}!,Bella run {PLAYER}!,ＧＲＥＡＴ ＲＵＮ {ＰＬＡＹＥＲ}!,Mahusay {PLAYER}!,"Sehr gut, {PLAYER}!","İyİ koşu, {PLAYER}!",Lari yang hebat {PLAYER}!,Ótima rodada {PLAYER}!,よくやった、{PLAYER}！,跑得不错 {PLAYER}！
CUTSCENE_MARATHON_PEACH_2,,Your time was: {TIME},Tu as mis: {TIME},Twój czas to: {TIME},tboё bpemя: {TIME},Tu tiempo fue: {TIME},Il tuo tempo è: {TIME},ＹＯＵＲ ＴＩＭＥ ＷＡＳ: {ＴＩＭＥ},Ang oras mo ay: {TIME},Deine Zeit ist: {TIME},Senİn zamanın: {TİME},Waktu Anda adalah: {TIME},Seu tempo foi: {TIME},タイム：{TIME},你的时间是：{TIME}
CUTSCENE_MARATHON_PEACH_3,,That's a new best! Great job!,C'est un nouveau record ! Bien joué !,To nowy rekord! Dobra robota!,hobый pekopд! Пoздpabляю!,¡Esa es una nueva mejor marca! ¡Buen trabajo!,Questo è un nuovo record! Bel lavoro!,ＴＨＡＴ'Ｓ Ａ ＮＥＷ ＢＥＳＴ! ＧＲＥＡＴ ＪＯＢ!,Bagong record! Yehey!,Dies ist ein neuer Rekord! Glückwunsch!,Bu yenİ bİr rekor! Harİka İş!,Itu rekor baru! Kerja bagus!,Esse foi um novo recorde! Parabéns!,きろくこうしん！おめでとう！,这是新的最佳成绩！太棒了！
LEVEL_WARPZONE,,Welcome to Warp Zone!,Bienvenue dans la zone de téléportation !,Witaj w Metrze Rur!,Дoбpo пoжaлobatь b bapп ЗohУ!,¡Bienvenido a la Warp Zone!,Benvenuto nella Warp Zone!,ＷＥＬＣＯＭＥ ＴＯ ＷＡＲＰ ＺＯＮＥ!,Welcome sa Warp Zone,Willkommen bei der Warp-Zone!,Warp Bölgesİne Hoş Geldİn!,Selamat datang di Warp Zone!,Bem-vindo a Warp Zone!,ワープゾーンへようこそ！,欢迎来到跳关区！
CHALLENGE_MISS,,Miss…,Perdu…,Zguba…,Пpomax…,Perdió…,Peccato…,ＭＩＳＳ…,Ayun lang…,Verloren…,Kaybettİn…,Gagal…,Perdeu...,ミス...,失误…
CHALLENGE_DIALOGUE_RESULTS,"Dialogue is what toad says, when telling you your final results on the challenge hunt",Your Results,Résultats Finaux,Twoje Rezultaty,tboи peзУльtatы,Tus resultados,I tuoi risultati,ＹＯＵＲ ＲＥＳＵＬＴＳ,Iyong resulta,End- ergebnis,Sonuçların,Hasil Anda,Seus Resultados,けっか,你的成绩
CHALLENGE_DIALOGUE_SCORE,,Score,Score,Wynik,oчkи,Puntuación,Punteggio,ＳＣＯＲＥ,Score,Punkte,Skor,Skor,Pontuação,ポイント,分数
CHALLENGE_DIALOGUE_COINS,,Coins,Pièces,Monety,mohetы,Monedas,Monete,ＣＯＩＮＳ,Coins,Münzen,Altınlar,Koin,Moedas,コイン,金币
CHALLENGE_DIALOGUE_EXIT,,Press jump to continue.,Appuyez pour quitter,Naciśnij aby wyjść,haжmиte любУю khoпkУ.,Pulse Saltar para continuar.,"Schiaccia il pulsante ""salta"" per uscire.",ＰＲＥＳＳ ＪＵＭＰ ＴＯ ＣＯＮＴＩＮＵＥ.,Pinduntin ang Jump button para umalis,Zum Beenden springen.,Çıkmak İçİn zıpla.,Tekan lompat untuk keluar.,Pressione pular para continuar.,「ジャンプ」を　おして　ぞっこう,按跳跃键继续。
TIME_UP,message that shows when you run out of time,Time Up!,Temps écoulé !,Koniec Czasu,bpemя bышлo!,¡Se acabo el Tiempo!,Tempo scaduto!,ＴＩＭＥ ＵＰ!,Time up!,Zeit vorbei!,Zaman Bİttİ!,Waktunya Habis!,Acabou o Tempo!,TIME UP,时间到！
HUD_TIME,,Time,Temps,Czas,bpemя ,Tiempo,Tempo,ＴＩＭＥ,Oras!,Zeit,Zaman,Waktu,Tempo,TIME,  时间
HUD_WORLD,,World,Monde,Świat,mиp,Mundo,Mondo,ＷＯＲＬＤ,Mundo,Welt,Dünya,Dunia,Mundo,WORLD,世界
RESOURCE_AVAILABLE,,Available Resource Packs,Packs de ressources disponibles,Dostępne Paczki Zasobów,ДoctУпhыe tekctУp-пakи,Paquetes de recursos disponibles,Pacchetti di risorse disponibili,ＡＶＡＩＬＡＢＬＥ ＲＥＳＯＵＲＣＥ ＰＡＣＫＳ,Mga available na Resource Pack,Verfügbare Ressourcenpakete,Mevcut Kaynak Paketlerİ,Paket Resource yang Tersedia,Pacotes de Recurso Disponíveis,リソースパック,可用资源包
RESOURCE_LOADED,,Loaded Resource Packs,Packs de ressources chargés,Załadowane Paczki Zasobów,ЗaгpУжehhыe tekctУp-пakи,Paquetes de recursos cargados,Pacchetti di risorse caricati,ＬＯＡＤＥＤ ＲＥＳＯＵＲＣＥ ＰＡＣＫＳ,Mga loaded na Resource Pack,Geladene Ressourcenpakete,Yüklü Kaynak Paketlerİ,Paket Resource Aktif,Pacotes de Recurso Carregados,ロードされたリソースパック,已加载资源包
RESOURCE_OPEN_FOLDER,,Open Folder,Ouvrir Dossier,Otwórz Folder,otkpыtь пaпkУ,Abrir Carpeta,Apri cartella,ＯＰＥＮ ＦＯＬＤＥＲ,Buksan ang Folder,Ordner öffnen,Klasörü Aç,Buka Folder,Abrir Pasta,フォルダーをひらく,打开文件夹
RESOURCE_REFRESH,,Refresh List,Rafraichir Liste,Odśwież Listę,oбhobиtь лиct,Actualizar lista,Aggiorna elenco,ＲＥＦＲＥＳＨ ＬＩＳＴ,Reload,Liste aktualisieren,Lİsteyİ Yenİle,Perbarui Daftar,Recarregar Lista,リストをこうしん,刷新列表
CUTSCENE_SP_PEACH_1,,Thank you {PLAYER}!,Merci {PLAYER} !,Dziękuję {PLAYER}!,cпacибo {PLAYER}!,"¡Gracias, {PLAYER}!",Grazie {PLAYER}!,ＴＨＡＮＫ ＹＯＵ {ＰＬＡＹＥＲ}!,Salamat {PLAYER}!,Danke {PLAYER}!,Teşekkürler {PLAYER}!,Terima kasih {PLAYER}!,Obrigado {PLAYER}!,ありがとう、{PLAYER}！,谢谢你 {PLAYER}！
CUTSCENE_SP_PEACH_2,,You cleared every world,Vous avez parcouru chaque monde,Ukończyłeś każdy świat,kaждый mиp был пpoйдeh,Has completado todos los mundos.,Hai completato ogni mondo,ＹＯＵ ＣＬＥＡＲＥＤ ＥＶＥＲＹ ＷＯＲＬＤ,Natapos mo ang bawat mundo!,Alle Welten besiegt,Sen tüm dünyaları bİtİrdİn,Kau selesaikan setiap dunia,Você passou por todos os mundos,すべてのワールドがクリアされた,你通关了所有世界！
CUTSCENE_SP_PEACH_3,,You are a super player!,Vous êtes un super joueur !,Jesteś super graczem!,tы cУпep-Игpok!,¡Eres un jugador increíble!,Sei un super giocatore!,ＹＯＵ ＡＲＥ Ａ ＳＵＰＥＲ ＰＬＡＹＥＲ!,Isa ka talagang suepr player!,Du bist ein toller Spieler!,Sen süper bİr oyuncusun!,Kau adalah pemain yang hebat!,Você é um super player!,きみはスーパープレイヤーだ！,你真是超级玩家！
,,,Vous êtes une superbe joueuse !,,,,,,,,,,,,
